SYSTEM                        ,          ,                        ,no transaction ,
_SYSSMU10_3657534386$         ,          ,                        ,no transaction ,
_SYSSMU1_709428478$           ,          ,                        ,no transaction ,
_SYSSMU2_4233131557$          ,          ,                        ,no transaction ,
_SYSSMU367_1963741831$        ,          ,                        ,no transaction ,
_SYSSMU368_3966978718$        ,          ,                        ,no transaction ,
_SYSSMU369_2214370269$        ,          ,                        ,no transaction ,
_SYSSMU370_3678495331$        ,          ,                        ,no transaction ,
_SYSSMU371_1762586305$        ,          ,                        ,no transaction ,
_SYSSMU372_3945102910$        ,          ,                        ,no transaction ,
_SYSSMU373_1949749984$        ,          ,                        ,no transaction ,
_SYSSMU374_1862473799$        ,          ,                        ,no transaction ,
_SYSSMU375_2225500242$        ,       812,                        ,no transaction ,
_SYSSMU376_2001328989$        ,          ,                        ,no transaction ,
_SYSSMU377_614069443$         ,          ,                        ,no transaction ,
_SYSSMU378_53484647$          ,          ,                        ,no transaction ,
_SYSSMU379_272417739$         ,          ,                        ,no transaction ,
_SYSSMU380_868288823$         ,          ,                        ,no transaction ,
_SYSSMU381_3043437750$        ,          ,                        ,no transaction ,
_SYSSMU382_550132918$         ,          ,                        ,no transaction ,
_SYSSMU383_2806999602$        ,          ,                        ,no transaction ,
_SYSSMU384_2906496747$        ,          ,                        ,no transaction ,
_SYSSMU385_1728810028$        ,          ,                        ,no transaction ,
_SYSSMU3_1977172414$          ,          ,                        ,no transaction ,
_SYSSMU4_4156572666$          ,          ,                        ,no transaction ,
_SYSSMU5_2592596030$          ,          ,                        ,no transaction ,
_SYSSMU6_3346948190$          ,          ,                        ,no transaction ,
_SYSSMU7_2742907890$          ,          ,                        ,no transaction ,
_SYSSMU8_3689442020$          ,          ,                        ,no transaction ,
_SYSSMU9_3174522522$          ,          ,                        ,no transaction ,
