NLS_RDBMS_VERSION                                                                                                               ,19.0.0.0.0
NLS_NCHAR_CONV_EXCP                                                                                                             ,FALSE
NLS_LENGTH_SEMANTICS                                                                                                            ,BYTE
NLS_COMP                                                                                                                        ,BINARY
NLS_DUAL_CURRENCY                                                                                                               ,$
NLS_TIMESTAMP_TZ_FORMAT                                                                                                         ,DD-MON-RR HH.MI.SSXFF AM TZR
NLS_TIME_TZ_FORMAT                                                                                                              ,HH.MI.SSXFF AM TZR
NLS_TIMESTAMP_FORMAT                                                                                                            ,DD-MON-RR HH.MI.SSXFF AM
NLS_TIME_FORMAT                                                                                                                 ,HH.MI.SSXFF AM
NLS_SORT                                                                                                                        ,BINARY
NLS_DATE_LANGUAGE                                                                                                               ,AMERICAN
NLS_DATE_FORMAT                                                                                                                 ,DD-MON-RR
NLS_CALENDAR                                                                                                                    ,GREGORIAN
NLS_NUMERIC_CHARACTERS                                                                                                          ,.,
NLS_NCHAR_CHARACTERSET                                                                                                          ,AL16UTF16
NLS_CHARACTERSET                                                                                                                ,WE8ISO8859P1
NLS_ISO_CURRENCY                                                                                                                ,AMERICA
NLS_CURRENCY                                                                                                                    ,$
NLS_TERRITORY                                                                                                                   ,AMERICA
NLS_LANGUAGE                                                                                                                    ,AMERICAN
