SELECT COLUMN_POSITION, UPPER( COLUMN_NAME ) AS CO,            1534590,    1232541,   6138362,         4,         0,00000000669D5650
BEGIN KOEL_RMSP_BILLABLE_INVOICE_REQ(:errbuf,:rc,:,            1504029,   10634617,   1504029,         1,         0,00000000BF53F248
select * from mykoel.KOEL_AP_LIABILITY_BI where 1=,            1214817,    1224666,   1214817,         1,         0,000000006E1F0DA0
select * from mykoel.KOEL_AP_LIABILITY_BI where 1=,            1214595,    1224116,   1214595,         1,         0,00000000E672AB08
select * from mykoel.KOEL_AP_LIABILITY_BI where 1=,            1150980,    1160310,   1150980,         1,         0,000000007A94A6E8
SELECT R.XLSX_ROW, C.XLSX_COL#, C.XLSX_COL, C.XLSX,            1110114,      80975,   6660689,         6,         6,00000000669B8280
SELECT NULL FROM TABLE( WWV_FLOW_DATA_PARSER.PARSE,            1023073,    1237882,   6138438,         6,         0,000000008B7AB7E0
select * from mykoel.KOEL_AP_LIABILITY_BI where 1=,             621093,    1251623,   1242187,         2,         0,00000000D6A13BF8
BEGIN ITC.KOEL_FOC_RMA_TRK_PKG.KOEL_FOC_RMA_INSERT,             475013,   58633772,    950026,         2,         0,00000000B27D7B58
BEGIN xla_accounting_pkg.unit_processor_batch(:err,             352716,   69040401,    705433,         2,         0,00000000B284BE98
select /*+qb_name(apex$1051_3)*/* from(select /*+ ,             272859,    1278392,    545719,         2,         0,000000008BDB27B0
INSERT INTO ITC.KOEL_FOC_RMA_TRACKING_DETAILS ( FO,             248038,   17075072,    248038,         1,         1,00000000AF5B0630
BEGIN COSTING.KOEL_INSERT_COGS_RECO_DAILY_PKG.PROC,             173134,   16313211,    173134,         1,         0,00000000A3A2D990
begin   wwv_flow.accept(p_reload_on_submit=>:1 , p,             167680,    3288942,   6707228,        40,         0,00000000CFCFB300
 SELECT * FROM ( SELECT V . vendor_id , VS . vendo,             153339,     214691,    153339,         1,         1,00000000AD0F9D68
 SELECT * FROM ( SELECT V . vendor_id , VS . vendo,             149412,     216088,    149412,         1,         1,00000000D3AB4508
select df.tablespace_name "Tablespace", totaluseds,             111882,    3786769,    223764,         2,         0,00000000D3D54680
BEGIN ITC.KOEL_FOC_RMA_TRK_PKG.KOEL_RMA_INSERT_PRG,              88877,  847668274,    177755,         2,         0,00000000C363F1C0
SELECT STATE_FROM_WHERE_INVOICE_MADE, CUST_BILL_TO,              66841, 2045137984,    133683,         2,    201759,00000000AEFFAA00
SELECT DISTINCT OOD.ORGANIZATION_CODE ORGANIZATION,              57784,    2116440,     57784,         1,         0,00000000B27B08A0
SELECT /*+ leading(evt) use_nl(ent) index(evt,XLA_,              53052,     109404,     53052,         1,         0,00000000AFB4C528
SELECT TEMPLATE_HDR_ID,ENTITY_ID,ENTITY_TYPE_CODE,,              34008,      76621,     34008,         1,         1,000000008A9457C8
begin RCV_TRANSACTION_PROCESSOR . RVTTHIns ( :inte,              33670,     572766,     67340,         2,         0,00000000AC5E9338
